Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora; Data solicitacao; Data aprovacao; Data programada; Data recebimento; Status
06/09/2007;M07090001114;1;CONTEC INFORMATICA LTDA                 ;SP;100;---;---;CONTEC INFORMATICA LTDA                 ;06/09/2007;06/09/2007;;;1
10/09/2007;M07090007155;1;CONTEC INFORMATICA LTDA                 ;SP;200;---;---;CONTEC INFORMATICA LTDA                 ;10/09/2007;10/09/2007;10/09/2007;10/09/2007;1
12/09/2007;M07090008399;1;CONTEC INFORMATICA LTDA                 ;SP;500;---;---;CONTEC INFORMATICA LTDA                 ;12/09/2007;10/10/2007;;;1
12/09/2007;M07090008550;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;;;1
12/09/2007;M07090008801;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;12/09/2007;13/09/2007;1
12/09/2007;M07090009018;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;13/09/2007;13/09/2007;1
12/09/2007;M07090009280;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;13/09/2007;13/09/2007;1
12/09/2007;M07090009441;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;12/09/2007;13/09/2007;1
12/09/2007;M07090010105;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;13/09/2007;13/09/2007;1
12/09/2007;M07090011853;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;12/09/2007;12/09/2007;12/09/2007;13/09/2007;1
17/09/2007;M07090014950;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;17/09/2007;17/09/2007;17/09/2007;17/09/2007;1
17/09/2007;M07090015093;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;17/09/2007;17/09/2007;17/09/2007;17/09/2007;1
17/09/2007;M07090015689;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;17/09/2007;17/09/2007;17/09/2007;17/09/2007;1
17/09/2007;M07090015760;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;17/09/2007;17/09/2007;17/09/2007;17/09/2007;1
17/09/2007;M07090019404;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;17/09/2007;17/09/2007;17/09/2007;17/09/2007;1
18/09/2007;M07090021301;1;CONTEC INFORMATICA LTDA                 ;SP;360;---;---;CONTEC INFORMATICA LTDA                 ;18/09/2007;21/09/2007;21/09/2007;21/09/2007;1
21/09/2007;M07090023274;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;21/09/2007;21/09/2007;21/09/2007;21/09/2007;1
08/10/2007;M07100001545;1;CONTEC INFORMATICA LTDA                 ;SP;140;---;---;CONTEC INFORMATICA LTDA                 ;08/10/2007;10/10/2007;;;1
14/12/2007;M07120006585;5;Porto Ponto Coleta;SP;100;---;---;Porto Ponto Coleta;14/12/2007;14/12/2007;14/12/2007;14/12/2007;1
