C07090011004;00010;8;NEXXIA;1080;00010;Teste 1000;P;9/12/2007;11/11/2007;
C07090011187;00010;8;NEXXIA;120;00010;Teste 1000;P;9/12/2007;11/11/2007;
C07090011268;00010;8;NEXXIA;1200;00010;Teste 1000;P;9/12/2007;11/11/2007;
C07090011349;00010;8;NEXXIA;4800;00010;Teste 1000;P;9/12/2007;11/11/2007;
C07090011420;00010;8;NEXXIA;4800;00010;Teste 1000;P;9/12/2007;11/11/2007;
C07090011004;00010;8;NEXXIA;2200;00010;Teste 1000;P;9/16/2007;11/15/2007;
C07090011187;00010;8;NEXXIA;330;00010;Teste 1000;P;9/16/2007;11/15/2007;
C07090011268;00010;8;NEXXIA;2200;00010;Teste 1000;P;9/16/2007;11/15/2007;
C07090011349;00010;8;NEXXIA;2200;00010;Teste 1000;P;9/16/2007;11/15/2007;
C07090011420;00010;8;NEXXIA;2200;00010;Teste 1000;P;9/16/2007;11/15/2007;
C07090014100;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090014100;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090014100;00015;8;NEXXIA;1000;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090014283;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090014283;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090014283;00015;8;NEXXIA;1000;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018602;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018602;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018602;00015;8;NEXXIA;1000;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018785;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018785;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018785;00015;8;NEXXIA;500;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018866;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018866;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018866;00015;8;NEXXIA;1000;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018947;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018947;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090018947;00015;8;NEXXIA;500;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019595;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019595;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019595;00015;8;NEXXIA;1000;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019676;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019676;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019676;00015;8;NEXXIA;500;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019919;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019919;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090019919;00015;8;NEXXIA;500;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090020097;00015;8;NEXXIA;100;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090020097;00015;8;NEXXIA;200;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
C07090020097;00015;8;NEXXIA;500;00015;fhsuhfihif;R;9/17/2007;12/16/2007;
