M07090007155;1;CONTEC INFORMATICA LTDA                 ;150;00003;Ponto de coleta;R;9/10/2007;11/9/2007;
M07090009441;3;PONTO  COLETA MIRACULA;760;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090009441;3;PONTO  COLETA MIRACULA;1500;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090010105;3;PONTO  COLETA MIRACULA;360;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090010105;3;PONTO  COLETA MIRACULA;1500;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090011853;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090011853;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/12/2007;10/2/2007;
M07090014950;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090014950;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090014950;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015093;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015093;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015093;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015689;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015689;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015689;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015760;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015760;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090015760;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090019404;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090019404;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090019404;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;9/17/2007;10/17/2007;
M07090014950;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090014950;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015093;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015093;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015689;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015689;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015760;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090015760;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090019404;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090019404;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
M07090021301;1;CONTEC INFORMATICA LTDA                 ;200;00003;Ponto de coleta;R;9/21/2007;11/20/2007;
M07090023274;3;PONTO  COLETA MIRACULA;2000;00011;Bonus para ponto de coleta Miracula;P;9/21/2007;10/11/2007;
