Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
01/04/2013;02/04/2013;;;C13040000178;740;Assistência Técnica Pontonet LTDA;SP;184;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Cancelada
01/04/2013;02/04/2013;08/04/2013;11/04/2013;C13040000259;118;DISTRIFILM COMERCIAL LTDA;SP;101;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
01/04/2013;02/04/2013;03/04/2013;07/05/2013;C13040000330;453;Rossi Regional São Paulo;SP;20;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
01/04/2013;02/04/2013;08/04/2013;07/05/2013;C13040000410;636;ESTATICA ENGENHARIA DE PROJETOS LTDA;SP;20;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
01/04/2013;02/04/2013;;;C13040000500;485;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;SP;105;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/04/2013;02/04/2013;;;C13040000682;364;Rossi Residencial S/A;SP;45;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
02/04/2013;02/04/2013;09/04/2013;11/04/2013;C13040000763;175;RMTJ IMPRESSOES LTDA;SP;88;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
02/04/2013;03/04/2013;;;C13040000844;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;150;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
02/04/2013;03/04/2013;;;C13040000925;741;Centro de Imagem Diagnósticos;MG;20;6;Distribuição;ATLAS LOGÍSTICA LTDA;Cancelada
03/04/2013;04/04/2013;;;C13040001069;683;Consórcio Lapa Pouptaempo;SP;30;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Aguardando coleta
03/04/2013;;;;C13040001140;742;Tecnoset Inf. Prod. Servs. Ltda.;RJ;21;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Rejeitada
03/04/2013;04/04/2013;;;C13040001220;139;;SP;20;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
03/04/2013;04/04/2013;08/04/2013;13/06/2013;C13040001301;175;RMTJ IMPRESSOES LTDA;SP;352;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
03/04/2013;04/04/2013;;;C13040001492;743;a m correa & cia Ltda.;SP;50;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
03/04/2013;04/04/2013;14/10/2013;;C13040001573;744;LANXESS ELASTÔMEROS DO BRASIL S.A;RJ;35;6;Distribuição;ATLAS LOGÍSTICA LTDA;Aguardando coleta
03/04/2013;04/04/2013;;;C13040001654;403;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;SP;295;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
03/04/2013;04/04/2013;;;C13040001735;700;INSTITUTO HERMES PARDINI SA;MG;30;6;Distribuição;ATLAS LOGÍSTICA LTDA;Aguardando coleta
05/04/2013;08/04/2013;10/04/2013;31/05/2013;C13040002200;263;Forprint Com. e Serv. de Informática Ltda.;SP;44;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
05/04/2013;08/04/2013;15/04/2013;31/05/2013;C13040002383;175;RMTJ IMPRESSOES LTDA;SP;115;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
08/04/2013;09/04/2013;;;C13040002464;363;Budai Indústria Metalúrgica Ltda;SP;134;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
08/04/2013;09/04/2013;11/04/2013;07/05/2013;C13040002545;366;Printsourcing Comércio de Produtos e Serviços de Informática Ltda;SP;60;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/04/2013;09/04/2013;15/04/2013;29/05/2013;C13040002626;389;Rossi Residencial;RJ;22;6;Distribuição;ATLAS LOGÍSTICA LTDA;Encerrada
08/04/2013;09/04/2013;;;C13040002707;119;BIRD SOLUTION LTDA;SP;464;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
08/04/2013;09/04/2013;16/04/2013;03/06/2013;C13040002979;604;Tribunal Regional Eleitoral de PE;PE;60;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
09/04/2013;10/04/2013;22/04/2013;31/05/2013;C13040003193;175;RMTJ IMPRESSOES LTDA;SP;306;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;22/04/2013;06/06/2013;C13040003274;606;MAQUIM COMÉRCIO DE EQUIPAMENTOS ELETRO-ELETRÔNICOS LTDA;SP;54;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;15/04/2013;08/05/2013;C13040003355;248;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;129;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;15/04/2013;08/05/2013;C13040003436;575;DI IMAGEM CENTRO DE DIAGNOSTICO INTEGRADO POR IMAGEM LTDA;MS;60;9;Empresas / Estados do Centro-Oeste;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;17/04/2013;03/06/2013;C13040003517;598;SONIMED DIAGNÓSTICOS LTDA.;MS;30;9;Empresas / Estados do Centro-Oeste;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;17/04/2013;07/05/2013;C13040003606;118;DISTRIFILM COMERCIAL LTDA;SP;86;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/04/2013;11/04/2013;20/05/2013;08/05/2013;C13040003860;695;NORCON ROSSI EMPREENDIMENTOS S/A;BA;30;8;Empresas / Estados do Nordeste;ATLAS LOGÍSTICA LTDA;Encerrada
11/04/2013;12/04/2013;17/05/2013;07/05/2013;C13040003940;163;cprinter informatica e comercio ltda epp;SP;99;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/04/2013;12/04/2013;20/05/2013;07/05/2013;C13040004084;467;COMAVI COMÉRCIO DE MÁQUINAS E VISUAIS LTDA;SP;60;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
11/04/2013;12/04/2013;;;C13040004165;747;Beatriz Reis Sé;SP;17;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Cancelada
11/04/2013;12/04/2013;18/02/2014;;C13040004246;748;Consórcio Poupatempo Sorocaba;SP;52;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Cancelada
11/04/2013;12/04/2013;20/05/2013;07/05/2013;C13040004327;671;Rossi Residencial S/A;SP;20;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
12/04/2013;12/04/2013;15/04/2013;13/06/2013;C13040004408;175;RMTJ IMPRESSOES LTDA;SP;93;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
12/04/2013;15/04/2013;22/04/2013;07/05/2013;C13040004599;566;JAMEF TRANSPORTES LTDA;SP;14;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
15/04/2013;15/04/2013;20/05/2013;07/05/2013;C13040004750;175;RMTJ IMPRESSOES LTDA;SP;22;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
15/04/2013;;;;C13040004831;512;ASSOCIACAO CONGREGACAO SANTA CATARINA;SP;80;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Rejeitada
15/04/2013;16/04/2013;20/05/2013;07/05/2013;C13040004912;512;ASSOCIACAO CONGREGACAO SANTA CATARINA;SP;100;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
15/04/2013;;;;C13040005056;465;Ana Exportação e Importação Ltda;SP;6;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Rejeitada
15/04/2013;16/04/2013;;;C13040005137;750;Superintendência Regional do Trabalho e Emprego em Minas Gerais;MG;20;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Aguardando coleta
15/04/2013;16/04/2013;;;C13040005307;752;eduardojose pfaffann diniz;SP;250;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
16/04/2013;;;;C13040005480;485;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;SP;9;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Rejeitada
16/04/2013;17/04/2013;;;C13040005560;753;marcos simoes costa;SP;15;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Aguardando coleta
16/04/2013;17/04/2013;23/04/2013;03/06/2013;C13040005641;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;800;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
16/04/2013;17/04/2013;22/04/2013;07/05/2013;C13040005722;331;Departamento de Águas e Energia;SP;150;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
16/04/2013;17/04/2013;22/04/2013;07/05/2013;C13040005803;119;BIRD SOLUTION LTDA;SP;445;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
16/04/2013;17/04/2013;22/04/2013;07/05/2013;C13040005994;118;DISTRIFILM COMERCIAL LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
16/04/2013;17/04/2013;22/04/2013;01/07/2013;C13040006109;418;Douglas Barbosa laranjeira;SP;20;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
17/04/2013;18/04/2013;22/04/2013;07/05/2013;C13040006290;485;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;SP;220;5;Assistência Técnica;ATLAS LOGÍSTICA LTDA;Encerrada
17/04/2013;18/04/2013;22/04/2013;28/06/2013;C13040006370;755;EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;MT;30;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
18/04/2013;19/04/2013;;;C13040006451;369;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;57;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
