Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
02/02/2009;02/02/2009;04/02/2009;11/03/2009;C09020000123;163;cprinter informatica e comercio ltda epp;SP;26;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
03/02/2009;03/02/2009;05/02/2009;11/03/2009;C09020000557;222;Star Outsourcing Comércio e Serviços de Informática Ltda;SP;16;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
03/02/2009;03/02/2009;11/02/2009;13/03/2009;C09020000638;191;Ultrapel Locação e Serviços Ltda;RJ;45;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Encerrada
03/02/2009;03/02/2009;09/02/2009;11/03/2009;C09020000719;121;Multh Comércio Materiais Equipamentos Ltda;SP;110;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Encerrada
04/02/2009;04/02/2009;06/02/2009;11/03/2009;C09020000980;224;Developing Incorporadora LTDA;SP;20;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
04/02/2009;04/02/2009;06/02/2009;11/03/2009;C09020001014;225;Toyota Tsusho;SP;7;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
04/02/2009;;;;C09020001103;224;Developing Incorporadora LTDA;SP;30;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Rejeitada
04/02/2009;04/02/2009;06/02/2009;11/03/2009;C09020001286;139;OKIDATA DO BRASIL INFORMÁTICA;SP;25;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
05/02/2009;05/02/2009;10/02/2009;;C09020001367;182;Klima Campinas Tecnologia Ltda;SP;93;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
06/02/2009;06/02/2009;16/02/2009;;C09020001529;153;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;DF;82;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
09/02/2009;09/02/2009;11/02/2009;11/03/2009;C09020001600;148;must eventos e desenvolvimento ltda.;sp;6;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
09/02/2009;09/02/2009;11/02/2009;;C09020001790;221;S/A O Estado de São Paulo;SP;50;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
09/02/2009;09/02/2009;13/02/2009;13/03/2009;C09020001871;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;350;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Encerrada
09/02/2009;;;;C09020002096;139;OKIDATA DO BRASIL INFORMÁTICA;SP;10;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Rejeitada
11/02/2009;12/02/2009;26/02/2009;;C09020002258;226;CERVEJARIA PETROPOLIS LTDA;RJ;8;5;Empresas / Estado de São Paulo;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
11/02/2009;11/02/2009;13/02/2009;;C09020002339;147;Carmel Comercial Ltda;SP;200;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
12/02/2009;12/02/2009;18/02/2009;11/03/2009;C09020002410;227;E&E ENGELS CONS. BENEF. COR SEGUROS;SP;22;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
12/02/2009;12/02/2009;16/02/2009;;C09020002509;118;DISTRIFILM COMERCIAL LTDA;SP;164;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
16/02/2009;16/02/2009;19/02/2009;11/03/2009;C09020002681;157;Gloria Andreza Moreira ME;SP;9;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
17/02/2009;17/02/2009;20/02/2009;;C09020002762;135;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;95;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
17/02/2009;17/02/2009;19/02/2009;11/03/2009;C09020002843;223;Star Outsourcing Comércio e Serviços de Informática Ltda;SP;15;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Encerrada
18/02/2009;18/02/2009;20/02/2009;;C09020003068;228;FK EQUIPAMENTOS PARA ESCRITÓRIO LTDA.;SP;37;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
19/02/2009;19/02/2009;26/02/2009;;C09020003220;210;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MG;33;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
19/02/2009;;;;C09020003300;210;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MG;33;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
20/02/2009;;;;C09020003572;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;DF;270;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
20/02/2009;20/02/2009;03/03/2009;;C09020003653;153;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;PR;270;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
20/02/2009;27/02/2009;04/03/2009;;C09020003734;194;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;87;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
24/02/2009;27/02/2009;04/03/2009;;C09020003815;221;S/A O Estado de São Paulo;SP;46;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
26/02/2009;27/02/2009;04/03/2009;;C09020003904;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;67;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
