Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
01/03/2013;01/04/2013;;;C13010000242;143;Carmel Comercial Ltda;sp;53;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/03/2013;01/04/2013;;;C13010000323;143;Carmel Comercial Ltda;sp;53;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/04/2013;01/07/2013;;;C13010000676;248;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;226;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/04/2013;01/07/2013;;;C13010001214;623;Souza Lima Segurança Patrimonial Ltda;SP;15;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/07/2013;01/09/2013;;;C13010001303;118;DISTRIFILM COMERCIAL LTDA;SP;90;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/07/2013;01/09/2013;;;C13010001567;704;ISI - Engenharia e Comercio LTDA;RJ;81;6;Empresas / Estados RJ; MG e ES;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/07/2013;01/09/2013;;;C13010001729;362;ASSOCIACAO CONGREGACAO SANTA CATARINA;sp;17;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/08/2013;01/09/2013;;;C13010002105;369;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;38;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/08/2013;01/09/2013;;;C13010002377;251;prodem produtos odontologicos ltda ;SP;14;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/09/2013;01/11/2013;;;C13010002881;391;Itazi Engenharia;sp;70;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/09/2013;01/11/2013;;;C13010003349;270;Grafica e Editora Sanroquense Ltda;SP;28;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/10/2013;01/11/2013;;;C13010003500;485;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;São Paulo;18;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/10/2013;01/11/2013;;;C13010003691;369;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;74;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/10/2013;01/11/2013;;;C13010003853;231;PRODUS PRODUTOS E SOLUÇÕES PARA INFORMATICA LTDA;BA;108;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/11/2013;01/14/2013;;;C13010004159;600;CS DO BRASIL COM SIST REPR LTDA;SP;60;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/14/2013;01/15/2013;;;C13010004825;481;Empresa Baiana de Águas e Saneamento;BA;130;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/15/2013;01/16/2013;;;C13010005392;708;Copy-fax soluções em copias , imp. aut. esc. ltda;PR;30;7;Empresas / Estados PR; SC e RS;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/15/2013;01/16/2013;;;C13010005554;379;SOLUTION AUTOMAÇAÕ EMPRESARIAL LTDA;SP;50;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/15/2013;01/16/2013;;;C13010005635;418;Douglas Barbosa laranjeira;SP;50;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/16/2013;01/18/2013;;;C13010005805;389;Rossi Residencial;RJ;43;6;Empresas / Estados RJ; MG e ES;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/16/2013;01/18/2013;;;C13010006100;123;Dimex do Triângulo Ltda;MG;125;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/18/2013;01/22/2013;;;C13010006445;119;BIRD SOLUTION LTDA;SP;411;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/22/2013;01/23/2013;;;C13010006950;182;Klima Campinas Tecnologia Ltda;SP;100;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/23/2013;01/23/2013;;;C13010007255;711;FIAT AUTOMOVEIS SA;MG;60;6;Empresas / Estados RJ; MG e ES;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/23/2013;01/24/2013;;;C13010007417;600;CS DO BRASIL COM SIST REPR LTDA;SP;20;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
