9/12/2007;M07090008550;3;PONTO  COLETA MIRACULA;400;
9/12/2007;M07090008801;3;PONTO  COLETA MIRACULA;700;
9/12/2007;M07090009280;3;PONTO  COLETA MIRACULA;500;
9/12/2007;M07090009441;3;PONTO  COLETA MIRACULA;500;
9/12/2007;M07090011853;3;PONTO  COLETA MIRACULA;400;
9/17/2007;M07090014950;3;PONTO  COLETA MIRACULA;500;
9/17/2007;M07090015093;3;PONTO  COLETA MIRACULA;400;
9/17/2007;M07090015689;3;PONTO  COLETA MIRACULA;700;
9/17/2007;M07090015760;3;PONTO  COLETA MIRACULA;500;
9/17/2007;M07090019404;3;PONTO  COLETA MIRACULA;400;
9/21/2007;M07090023274;3;PONTO  COLETA MIRACULA;700;
9/12/2007;M07090009018;3;PONTO  COLETA MIRACULA;500;
9/12/2007;M07090010105;3;PONTO  COLETA MIRACULA;400;
