Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1056;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1088;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;20;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;112;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;3384;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2484;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2520;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2916;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;4205;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;3538;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;4611;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2499;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;462;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;420;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;336;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;462;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1681;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;984;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;328;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;368;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;130;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1472;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1472;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1408;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1728;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2006;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2380;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;2516;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;1386;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;30;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;160;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;676;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;884;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;676;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;588;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;3132;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
C08090000248;117;DISTRIFILM COMERCIAL LTDA;3888;00001;Pontuação VAR-Sudeste;P;02/10/2008;11/08/2018
