Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
03/08/2009;04/08/2009;14/08/2009;03/09/2009;C09080000146;210;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MG;22;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
04/08/2009;04/08/2009;14/08/2009;;C09080000227;123;Dimex do Triângulo Ltda;MG;35;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
05/08/2009;;;;C09080000308;123;Dimex do Triângulo Ltda;MG;45;4;Revendedor;ATLAS LOGÍSTICA LTDA;Rejeitada
05/08/2009;05/08/2009;14/08/2009;22/09/2009;C09080000499;176;IRB-BRASIL RESSEGUROS S.A.;RJ;19;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
05/08/2009;05/08/2009;11/08/2009;;C09080000570;263;Forprint Com. e Serv. de Informática Ltda.;SP;7;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
06/08/2009;06/08/2009;12/08/2009;;C09080000731;278;Converge Promoções Eventos e Editora Ltda;SP;17;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
07/08/2009;07/08/2009;12/08/2009;22/09/2009;C09080000901;118;DISTRIFILM COMERCIAL LTDA;SP;62;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/08/2009;07/08/2009;;;C09080001037;139;OKIDATA DO BRASIL INFORMÁTICA;SP;80;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Cancelada
07/08/2009;07/08/2009;10/08/2009;10/08/2009;C09080001118;119;BIRD SOLUTION LTDA;SP;432;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/08/2009;07/08/2009;14/08/2009;24/09/2009;C09080001207;221;S/A O Estado de São Paulo;SP;50;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
10/08/2009;;;;C09080001460;222;Star Outsourcing Comércio e Serviços de Informática Ltda;SP;15;4;Revendedor;ATLAS LOGÍSTICA LTDA;Rejeitada
11/08/2009;11/08/2009;18/08/2009;22/09/2009;C09080001541;231;PRODUS PRODUTOS E SOLUÇÕES PARA INFORMATICA LTDA;BA;57;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
12/08/2009;12/08/2009;20/08/2009;;C09080001622;252;CERVEJARIA PETROPOLIS S/A;SP;39;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
12/08/2009;12/08/2009;17/08/2009;;C09080001703;223;Star Outsourcing Comércio e Serviços de Informática Ltda;SP;27;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
13/08/2009;13/08/2009;19/08/2009;24/09/2009;C09080001894;280;Hotal Camping Estância Atibainha Ltda.;SP;14;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
13/08/2009;13/08/2009;18/08/2009;24/09/2009;C09080002190;291;Roberto Martins;SP;140;2;Usuário Final-cadastro com CPF (à partir de 15 cart.);ATLAS LOGÍSTICA LTDA;Encerrada
13/08/2009;14/08/2009;20/08/2009;22/09/2009;C09080002270;292;Savar Industria e Comercio de Embalagens LTDA;SP;30;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
13/08/2009;14/08/2009;20/08/2009;22/09/2009;C09080002351;216;Y N Pamplona Telecomunicações Ltda;SP;16;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
14/08/2009;14/08/2009;14/08/2009;24/09/2009;C09080002432;139;OKIDATA DO BRASIL INFORMÁTICA;SP;100;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
14/08/2009;14/08/2009;21/08/2009;22/09/2009;C09080002513;293;CENTRO TECNICO RAYTEC DE ELÇETRONICA LTDA;PR;24;7;Empresas / Estados PR; SC e RS;ATLAS LOGÍSTICA LTDA;Encerrada
17/08/2009;17/08/2009;17/08/2009;17/08/2009;C09080002947;248;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;475;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
18/08/2009;18/08/2009;20/08/2009;22/09/2009;C09080003161;118;DISTRIFILM COMERCIAL LTDA;SP;140;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
19/08/2009;19/08/2009;21/08/2009;;C09080003757;119;BIRD SOLUTION LTDA;SP;167;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
19/08/2009;19/08/2009;24/08/2009;24/09/2009;C09080003838;221;S/A O Estado de São Paulo;SP;60;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Encerrada
