Data Solicitação;Número Solicitação;Cod. Ponto Coleta;Razão Social Ponto Coleta;Qtd. Cartuchos;Data Programada para Coleta
3/31/2008 11:06:20 AM;M08030001116;4;Nitek;110;2/4/2008
4/2/2008 5:12:07 PM;M08040000341;4;Nitek;300;2/5/2008
4/8/2008 10:13:44 AM;E08040001070;4;Nitek;320;
4/8/2008 10:15:40 AM;M08040001151;4;Nitek;315;
4/14/2008 3:44:46 PM;E08040001313;4;Nitek;100;
4/14/2008 3:44:51 PM;E08040001402;4;Nitek;200;
4/14/2008 3:44:56 PM;E08040001585;4;Nitek;300;
4/14/2008 3:45:58 PM;E08040001666;4;Nitek;400;
4/14/2008 3:46:04 PM;E08040001747;4;Nitek;450;
4/14/2008 3:46:10 PM;E08040001828;4;Nitek;550;
4/14/2008 3:48:09 PM;M08040001909;4;Nitek;100;
4/14/2008 3:48:15 PM;M08040002042;4;Nitek;200;
4/14/2008 3:48:22 PM;M08040002123;4;Nitek;300;
4/14/2008 3:48:33 PM;M08040002204;4;Nitek;400;
4/14/2008 3:48:39 PM;M08040002395;4;Nitek;450;
4/14/2008 3:51:33 PM;M08040002476;4;Nitek;550;
5/8/2008 2:55:10 PM;E08050000115;4;Nitek;150;
5/8/2008 2:55:44 PM;M08050000204;4;Nitek;150;
5/8/2008 2:57:38 PM;E08050000387;4;Nitek;300;
5/8/2008 2:58:18 PM;M08050000468;4;Nitek;300;8/5/2008
4/2/2008 5:42:31 PM;M08040000694;4;Nitek;200;
