Código Cliente;Razão Social;Pontuação;Cód. Bônus;Moeda do Bônus;Data Geração;Data Expiração
117;DISTRIFILM COMERCIAL LTDA;83450;00001;Pontuacao;02/10/2008;11/08/2018
118;BIRD SOLUTION LTDA;3362;00001;Pontuacao;30/10/2008;08/09/2018
117;DISTRIFILM COMERCIAL LTDA;6352;00001;Pontuacao;02/10/2008;11/08/2018
119;CSV PALOTINAS- COLÉGIO SÃO JOSÉ;1951;00009;Pontuacao;22/10/2008;17/04/2021
120;Multh Comércio Materiais Equipamentos Ltda;2489;00001;Pontuacao;22/10/2008;31/08/2018
121;Tecnopop Comunicação Visual e Multimídia Ltda;2235;00009;Pontuacao;31/10/2008;26/04/2021
122;Dimex do Triângulo Ltda;110;00001;Pontuacao;31/10/2008;09/09/2018
123;ALLDORA TECNOLOGIA LTDA;2571;00001;Pontuacao;23/10/2008;01/09/2018
117;DISTRIFILM COMERCIAL LTDA;3891;00001;Pontuacao;22/10/2008;31/08/2018
125;DEPARTAMENTO ESTADUAL DE TRANSITO;1210;00010;Pontuacao;12/12/2008;30/09/2167
126;Buriti Imóveis e Administração Ltda.;1197;00009;Pontuacao;28/10/2008;23/04/2021
127;Prefeitura Municipal da Estancia Turistica de Embu ;1275;00009;Pontuacao;28/10/2008;23/04/2021
128;Sandria Projetos e Construções Ltda;701;00009;Pontuacao;28/10/2008;23/04/2021
129;COMPANHIA DO METROPOLITANO DE SÃO PAULO;7036;00009;Pontuacao;28/10/2008;23/04/2021
130;MARINHO PROCESSAMENTO DE DADOS;2386;00009;Pontuacao;28/10/2008;23/04/2021
131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;20492;00009;Pontuacao;23/01/2009;19/07/2021
132;AMC Comunicação S/C Ltda;285;00009;Pontuacao;10/11/2008;06/05/2021
133;CD STUDIO;10600;00009;Pontuacao;29/10/2008;24/04/2021
134;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;1996;00001;Pontuacao;10/11/2008;19/09/2018
135;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;1448;00001;Pontuacao;29/10/2008;07/09/2018
137;Pharmedic Pharmaceuticals Imp.Distr.Com.Rep.Ltda;252;00009;Pontuacao;28/11/2008;24/05/2021
138;OKIDATA DO BRASIL INFORMÁTICA;651;00001;Pontuacao;24/11/2008;03/10/2018
139;Tribunal de Contas do Estado de São Paulo;6580;00009;Pontuacao;24/11/2008;20/05/2021
