Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
05/09/2007;05/09/2007;06/09/2007;06/09/2007;C07090000142;;;;164;;;;Encerrada
05/09/2007;05/09/2007;06/09/2007;06/09/2007;C07090000223;;;;436;;;;Encerrada
05/09/2007;05/09/2007;06/09/2007;06/09/2007;C07090000304;;;;117;;;;Encerrada
05/09/2007;05/09/2007;06/09/2007;09/06/2007;C07090000576;;;;100;;;;Encerrada
05/09/2007;05/09/2007;10/09/2007;05/09/2007;C07090000657;;;;1969;;;;Encerrada
06/09/2007;06/09/2007;06/09/2007;06/09/2007;C07090001386;;;;100;;;;Encerrada
06/09/2007;06/09/2007;06/09/2007;09/06/2007;C07090001548;;;;250;;;;Encerrada
06/09/2007;06/09/2007;06/09/2007;15/10/2007;C07090001700;;;;200;;;;Encerrada
06/09/2007;06/09/2007;25/09/2007;;C07090001890;;;;500;;;;Em trânsito
06/09/2007;01/07/2008;31/01/2008;;C07090001971;;;;300;;;;Aguardando coleta
06/09/2007;06/09/2007;25/09/2007;25/10/2007;C07090002005;;;;400;;;;Encerrada
10/09/2007;10/09/2007;25/09/2007;;C07090002196;;;;100;;;;Em trânsito
10/09/2007;10/09/2007;;;C07090002277;;;;400;;;;Cancelada
10/09/2007;09/10/2007;01/01/2008;;C07090002358;;;;300;;;;Aguardando coleta
10/09/2007;10/09/2007;25/09/2007;;C07090002439;;;;300;;;;Em trânsito
10/09/2007;10/09/2007;25/09/2007;;C07090002510;;;;200;;;;Em trânsito
10/09/2007;10/09/2007;21/02/2008;;C07090002609;;;;100;;;;Aguardando coleta
10/09/2007;10/09/2007;;;C07090002781;;;;200;;;;Aguardando coleta
10/09/2007;10/09/2007;;;C07090002862;;;;200;;;;Aguardando coleta
10/09/2007;10/09/2007;;;C07090002943;;;;200;;;;Aguardando coleta
10/09/2007;10/09/2007;;;C07090003087;;;;100;;;;Aguardando coleta
10/09/2007;10/09/2007;25/09/2007;25/10/2007;C07090003168;;;;300;;;;Encerrada
