Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
25/05/2009;25/05/2009;28/05/2009;;C09050005018;172;BANCO ABN AMRO REAL S/A ;SP;445;5;Empresas / Estado de São Paulo;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
25/05/2009;25/05/2009;27/05/2009;;C09050005107;260;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;SP;100;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
25/05/2009;26/05/2009;28/05/2009;;C09050005280;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;104;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
26/05/2009;26/05/2009;28/05/2009;;C09050005360;261;SAO DOMINGOS SA INDUSTRIA GRAFICA;SP;48;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
27/05/2009;27/05/2009;29/05/2009;;C09050005603;148;must eventos e desenvolvimento ltda.;sp;15;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
27/05/2009;27/05/2009;29/05/2009;;C09050005956;221;S/A O Estado de São Paulo;SP;50;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
28/05/2009;28/05/2009;;;C09050006332;263;Forprint Com. e Serv. de Informática Ltda.;SP;7;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/06/2009;04/06/2009;;;C09060000256;265;Adriana Pegoraro;SP;23;2;Usuário Final-cadastro com CPF (à partir de 15 cart.);ATLAS LOGÍSTICA LTDA;Aprovada
02/06/2009;04/06/2009;;;C09060000418;118;DISTRIFILM COMERCIAL LTDA;SP;91;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aprovada
02/06/2009;04/06/2009;;;C09060000507;182;Klima Campinas Tecnologia Ltda;SP;71;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aprovada
03/06/2009;04/06/2009;;;C09060000680;148;must eventos e desenvolvimento ltda.;sp;5;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aprovada
