05/09/2007 14:41:29;E07090000142;1;MIRACULA STORE;;1;2;Usuário Final
05/09/2007 14:46:04;E07090000223;2;NEXXIA INTERNET;;20;2;Usuário Final
05/09/2007 14:47:49;E07090000304;1;MIRACULA STORE;;800;2;Usuário Final
05/09/2007 15:04:00;E07090000576;1;MIRACULA STORE;;900;2;Usuário Final
05/09/2007 15:06:37;E07090000738;1;MIRACULA STORE;;1000;2;Usuário Final
05/09/2007 15:29:19;E07090000908;2;NEXXIA INTERNET;;903;2;Usuário Final
05/09/2007 15:44:57;C07090001114;3;ORBIUM CONTACT CENTER;SP;400;1;Corporativa
05/09/2007;R09070001263;;;;200;;
05/09/2007;R09070001344;;;;1;;
05/09/2007;R09070001425;;;;1;;
05/09/2007;R09070001506;;;;1;;
05/09/2007;R09070001697;;;;1;;
05/09/2007;R09070001778;;;;1;;
05/09/2007;R09070001859;;;;1;;
05/09/2007;R09070001930;;;;1;;
05/09/2007;R09070002073;;;;1;;
05/09/2007;R09070002154;;;;1;;
05/09/2007;R09070002235;;;;1;;
06/09/2007 10:52:43;E07090002358;1;MIRACULA STORE;;100;2;Usuário Final
05/09/2007 14:48:20;M07090000495;1;PONTO DE COLETA;1;1;---;---
05/09/2007 15:04:18;M07090000657;1;PONTO DE COLETA;1;20;---;---
05/09/2007 15:06:55;M07090000819;1;PONTO DE COLETA;1;800;---;---
05/09/2007 15:29:56;M07090001033;1;PONTO DE COLETA;1;900;---;---
