Código Cliente;Razão Social;Pontuação;Cód. Bônus;Moeda do Bônus;Data Geração;Data Expiração
256;Consórcio Mananciais;1599;00009;Pontuacao;01/30/2013;07/26/2025
429;Consórcio Cidade Ademar Poupatempo;608;00001;Pontuacao;07/02/2013;05/11/2023
167;RMTJ IMPRESSOES LTDA;8932;00009;Pontuacao;01/30/2013;07/26/2025
118;BIRD SOLUTION LTDA;14908;00001;Pontuacao;01/04/2013;11/13/2022
117;DISTRIFILM COMERCIAL LTDA;2667;00001;Pontuacao;01/04/2013;11/13/2022
167;RMTJ IMPRESSOES LTDA;10920;00009;Pontuacao;01/04/2013;06/30/2025
454;IDDEIA COMERCIO LOCACAO E SOLUCOES TECNOLOGIA LTDA;276;00003;Pontuacao;01/02/2013;12/31/2022
442;PRINT COPY EQUIPAMENTOS E SERVIÇOS LTDA;4384;00005;Pontuacao;01/30/2013;01/03/2022
143;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;6054;00001;Pontuacao;01/02/2013;11/11/2022
448;CONSORCIO SANTOS POUPATEMPO;2601;00009;Pontuacao;01/02/2013;06/28/2025
365;Office Total Solução em Tec. p/ Esc.Ltda;7419;00001;Pontuacao;02/04/2013;12/14/2022
190;Lunes 3 Comércio de Máquinas e Suprimentos Gráficos Ltda;2066;00003;Pontuacao;01/02/2013;12/31/2022
323;SOLUTION AUTOMAÇAÕ EMPRESARIAL LTDA;1771;00001;Pontuacao;01/02/2013;11/11/2022
167;RMTJ IMPRESSOES LTDA;2959;00009;Pontuacao;01/02/2013;06/28/2025
118;BIRD SOLUTION LTDA;11644;00001;Pontuacao;01/02/2013;11/11/2022
117;DISTRIFILM COMERCIAL LTDA;1927;00001;Pontuacao;01/02/2013;11/11/2022
376;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;1154;00001;Pontuacao;01/08/2013;11/17/2022
244;Forprint Com. e Serv. de Informática Ltda.;1282;00014;Pontuacao;01/02/2013;12/16/2023
164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;884;00001;Pontuacao;01/02/2013;11/11/2022
199;copylink equipamentos para escritorio ltda;7841;00003;Pontuacao;01/02/2013;12/31/2022
305;Departamento de Águas e Energia;7617;00009;Pontuacao;02/04/2013;07/31/2025
135;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;4176;00001;Pontuacao;01/04/2013;11/13/2022
267;Roberto Martins;13214;00009;Pontuacao;01/21/2013;07/17/2025
167;RMTJ IMPRESSOES LTDA;6237;00009;Pontuacao;01/08/2013;07/04/2025
181;Equipa Máquinas e Utensílios para Escritórios Ltda;853;00001;Pontuacao;01/08/2013;11/17/2022
424;COMAVI COMÉRCIO DE MÁQUINAS E VISUAIS LTDA;3457;00001;Pontuacao;01/21/2013;11/30/2022
136;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;17433;00001;Pontuacao;01/21/2013;11/30/2022
117;DISTRIFILM COMERCIAL LTDA;7482;00001;Pontuacao;01/21/2013;11/30/2022
164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;2225;00001;Pontuacao;03/04/2013;01/11/2023
454;IDDEIA COMERCIO LOCACAO E SOLUCOES TECNOLOGIA LTDA;294;00003;Pontuacao;02/04/2013;02/02/2023
135;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;7113;00001;Pontuacao;02/04/2013;12/14/2022
244;Forprint Com. e Serv. de Informática Ltda.;1802;00014;Pontuacao;01/21/2013;01/04/2024
118;BIRD SOLUTION LTDA;10161;00001;Pontuacao;01/21/2013;11/30/2022
120;Multh Comércio Materiais Equipamentos Ltda;9163;00001;Pontuacao;02/04/2013;12/14/2022
546;MSA SOLUTION COMÉRCIO E SERVIÇOS EM INFORMÁTICA E SUPRIMENTOS LTDA;3532;00005;Pontuacao;02/21/2013;01/25/2022
167;RMTJ IMPRESSOES LTDA;4239;00009;Pontuacao;01/08/2013;07/04/2025
157;cprinter informatica e comercio ltda epp;7229;00001;Pontuacao;01/21/2013;11/30/2022
157;cprinter informatica e comercio ltda epp;3041;00001;Pontuacao;01/21/2013;11/30/2022
131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;54911;00009;Pontuacao;02/21/2013;08/17/2025
118;BIRD SOLUTION LTDA;8882;00001;Pontuacao;01/21/2013;11/30/2022
305;Departamento de Águas e Energia;7179;00009;Pontuacao;10/03/2013;03/29/2026
122;Dimex do Triângulo Ltda;4232;00001;Pontuacao;02/21/2013;12/31/2022
117;DISTRIFILM COMERCIAL LTDA;308;00001;Pontuacao;02/04/2013;12/14/2022
244;Forprint Com. e Serv. de Informática Ltda.;532;00014;Pontuacao;01/21/2013;01/04/2024
157;cprinter informatica e comercio ltda epp;8873;00001;Pontuacao;02/04/2013;12/14/2022
319;Tribunal de Justiça do Estado do Rio de Janeiro;957;00009;Pontuacao;01/30/2013;07/26/2025
181;Equipa Máquinas e Utensílios para Escritórios Ltda;905;00001;Pontuacao;02/04/2013;12/14/2022
143;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;6038;00001;Pontuacao;02/04/2013;12/14/2022
157;cprinter informatica e comercio ltda epp;1573;00001;Pontuacao;02/04/2013;12/14/2022
454;IDDEIA COMERCIO LOCACAO E SOLUCOES TECNOLOGIA LTDA;562;00003;Pontuacao;02/04/2013;02/02/2023
117;DISTRIFILM COMERCIAL LTDA;3709;00001;Pontuacao;02/04/2013;12/14/2022
164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;6991;00001;Pontuacao;03/04/2013;01/11/2023
181;Equipa Máquinas e Utensílios para Escritórios Ltda;3382;00001;Pontuacao;02/04/2013;12/14/2022
142;Carmel Comercial Ltda;3572;00001;Pontuacao;02/04/2013;12/14/2022
157;cprinter informatica e comercio ltda epp;2292;00001;Pontuacao;03/01/2013;01/08/2023
117;DISTRIFILM COMERCIAL LTDA;5043;00001;Pontuacao;02/04/2013;12/14/2022
120;Multh Comércio Materiais Equipamentos Ltda;4980;00001;Pontuacao;04/30/2013;03/09/2023
376;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;288;00001;Pontuacao;04/30/2013;03/09/2023
376;TECMACH LOCAÇÃO DE BENS MOVEIS E SERVIÇOS;459;00001;Pontuacao;04/30/2013;03/09/2023
136;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;18727;00001;Pontuacao;03/04/2013;01/11/2023
167;RMTJ IMPRESSOES LTDA;11329;00009;Pontuacao;03/01/2013;08/25/2025
